,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue likesVenue Latitude,Venue Longitude,Venue Category
0,0,Buritis,-19.9765791,-43.9674165,Dog's Shop,4dcc3ac452b19dd12dcd0670,-19.97430865584377,-43.96768813152708,Pet Store
1,1,Buritis,-19.9765791,-43.9674165,Beb’s Bar Buritis,5b5295ab0802d400399a170b,-19.972796134923566,-43.96724354880272,Bar
2,2,Buritis,-19.9765791,-43.9674165,Parque Aggeo Pio Sobrinho,4c8b19601556bfb7beccff92,-19.976082422386007,-43.970962119551494,Park
3,3,Buritis,-19.9765791,-43.9674165,Ponto Da Esfiha Buritis,4fe35de9e4b0fcbc93110077,-19.975086329860265,-43.96763354892419,Fast Food Restaurant
4,4,Buritis,-19.9765791,-43.9674165,Shopping Frutas Buritis,4d10b48659606dcb86ff763e,-19.976044238898908,-43.97022675934453,Fruit & Vegetable Store
5,5,Buritis,-19.9765791,-43.9674165,Shell Select,4f099e0ae4b071c576b1bec4,-19.973619389996266,-43.96601356804468,Convenience Store
6,6,Buritis,-19.9765791,-43.9674165,Super Nosso Gourmet,4be1cb8268e976b0c3c15468,-19.97622104295672,-43.97049556315208,Supermarket
7,7,Buritis,-19.9765791,-43.9674165,Drogaria Araújo,52a25aee11d2697399f0d996,-19.976106549093423,-43.97103433993226,Pharmacy
8,8,Buritis,-19.9765791,-43.9674165,Subway,572a537d498e961a518b4490,-19.97608992653901,-43.97102385931888,Sandwich Place
9,9,Buritis,-19.9765791,-43.9674165,Academia Planeta Buritis,4de027a1c65bcc724f384d63,-19.97419485930056,-43.967778864956976,Gym / Fitness Center
10,10,Buritis,-19.9765791,-43.9674165,Massas Terni,4e7e1c0993add2f2a6d5e125,-19.973248232138072,-43.96681044556029,Gourmet Shop
11,11,Buritis,-19.9765791,-43.9674165,Delta Burguer,4bc6509751b376b08f651b6f,-19.976411911529265,-43.972018016693546,Burger Joint
12,12,Buritis,-19.9765791,-43.9674165,Academia Imagem II,4c94c8ee72dd224bf6f89c91,-19.975811707616668,-43.97063167426071,Gym / Fitness Center
13,13,Buritis,-19.9765791,-43.9674165,Mirante Buritis,50f32736e4b0dfb4686d0346,-19.976167541510968,-43.963851284681866,Scenic Lookout
14,14,Buritis,-19.9765791,-43.9674165,Padaria Pães e Doces Buritis,559462e1498e56ace88d8ba0,-19.977523179769687,-43.966473468818215,Bakery
15,15,Buritis,-19.9765791,-43.9674165,Loja Conveniência (Posto Shell Buritis),4f156ee1e4b09e81dc9ef7fa,-19.972309527057163,-43.96698307653392,Coffee Shop
16,16,Buritis,-19.9765791,-43.9674165,Farmácia Pague Menos,596e25396f706a4c51a89c9d,-19.976210000000002,-43.971709999999995,Pharmacy
17,17,Buritis,-19.9765791,-43.9674165,Angel Boxe Feminino,4f343afee4b015375e0dee61,-19.977479051323627,-43.96644273526732,Gym / Fitness Center
18,18,Buritis,-19.9765791,-43.9674165,Lifeful Studio,5531ab21498e5f41b1287a08,-19.97731415245155,-43.966575444679314,Gym / Fitness Center
19,19,Buritis,-19.9765791,-43.9674165,Plut Pet Zoo Pet Shop,4d974b0161a3a1cd750ab142,-19.97679560611968,-43.96897708668116,Pet Store
20,20,Buritis,-19.9765791,-43.9674165,Na Grelha,4fbeb4c2e4b05f6d35fc2444,-19.976133902726797,-43.971410011566114,BBQ Joint
21,21,Buritis,-19.9765791,-43.9674165,Loterias buritis,4e0a07c8d22d658532b76065,-19.978374132690345,-43.968591551128654,Lottery Retailer
22,22,Buritis,-19.9765791,-43.9674165,Pracinha,53053d00498eca58e96c755b,-19.97711012048324,-43.97004722793269,Park
